Song,Artist,Date,Streams,Rank
astral step,shadowraze,2022-02-20,"8,929",1
МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,2022-02-20,"8,362",2
Фотографирую закат,fem.love,2022-02-20,"6,507",3
adaptive strike,"shadowraze, LXNER, quiizzzmeow",2022-02-20,"6,459",4
Отпускаю,"Egor Kreed, MakSim",2022-02-20,"5,889",5
Лёд,"WENARO, LXNER",2022-02-20,"4,989",6
Yeyo!,Шайни,2022-02-20,"4,440",7
99 Problems,"Big Baby Tape, kizaru",2022-02-20,"4,317",8
ТОЛПЫ КРИЧАТ,"uniqe, nkeeei, ARTEM SHILOVETS",2022-02-20,"4,163",9
СОЛНЦЕ МОНАКО,Lusia Chebotina,2022-02-20,"4,128",10
Marmalade,"Miyagi & Andy Panda, Mav-d",2022-02-20,"4,116",11
Седьмой лепесток,Антон Токарев,2022-02-20,"4,072",12
Bandana,"Big Baby Tape, kizaru",2022-02-20,"3,993",13
плачь,"rizza, Sqwore",2022-02-20,"3,947",14
shadowfiend,shadowraze,2022-02-20,"3,829",15
Million,"Big Baby Tape, kizaru",2022-02-20,"3,588",16
juggernaut (Prod. by PLVSTIC),shadowraze,2022-02-20,"3,572",17
первое свидание,алёна швец.,2022-02-20,"3,504",18
Гармония,Artik & Asti,2022-02-20,"3,485",19
баночка с окурками,КОСМОНАВТОВ НЕТ,2022-02-20,"3,439",20
MIDDLE OF THE NIGHT,Elley Duhé,2022-02-20,"3,406",21
ВЛЮБИЛАСЬ,"Big Baby Tape, Молодой Платон",2022-02-20,"3,403",22
Aomine Daiki,quiizzzmeow,2022-02-20,"3,238",23
ночь,ooes,2022-02-20,"3,236",24
Барбисайз,"Дора, MAYBE BABY",2022-02-20,"3,200",25
psiblades,"shadowraze, babyswishh1",2022-02-20,"3,153",26
Днями-ночами,"pyrokinesis, MUKKA",2022-02-20,"3,034",27
Close Eyes,DVRST,2022-02-20,"3,024",28
За всех,MACAN,2022-02-20,"3,015",29
1000-7,"shadowraze, GENJUTSU",2022-02-20,"2,992",30
Кожура,ZAPOMNI,2022-02-20,"2,948",31
Буревестник,Miyagi & Andy Panda,2022-02-20,"2,921",32
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2022-02-20,"2,918",33
Привет,Kambulat,2022-02-20,"2,865",34
МЯТОЙ - remix 2010,КОСМОНАВТОВ НЕТ,2022-02-20,"2,843",35
Феникс,ANNA ASTI,2022-02-20,"2,810",36
Башня,"Даня Милохин, Mumiy Troll",2022-02-20,"2,749",37
Я всё решу (Intro),ZAPOMNI,2022-02-20,"2,715",38
Первый раз - remix nevroz,JojoHF,2022-02-20,"2,669",39
Диалоги тет-а-тет,"ALEKS ATAMAN, FINIK",2022-02-20,"2,617",40
STAY (with Justin Bieber),The Kid LAROI,2022-02-20,"2,581",41
abcdefu,GAYLE,2022-02-20,"2,573",42
Дом Периньон,"Poshlaya Molly, Eldzhey",2022-02-20,"2,515",43
Baby mama,"Skryptonite, Райда",2022-02-20,"2,502",44
Вина,Три дня дождя,2022-02-20,"2,487",45
Огни,"ANIKV, SALUKI",2022-02-20,"2,482",46
Лифон,"uniqe, nkeeei, ARTEM SHILOVETS, SAGARA",2022-02-20,"2,445",47
в темноте,"КОСМОНАВТОВ НЕТ, дипинс",2022-02-20,"2,433",48
ТАЙМАУТ,Nikitata,2022-02-20,"2,418",49
1000-7,fem.love,2022-02-20,"2,411",50
ЛАБИРИНТ,FACE,2022-02-20,"2,396",51
Демоны,Три дня дождя,2022-02-20,"2,367",52
диско элизиум,pyrokinesis,2022-02-20,"2,331",53
Динозаврики,Папин Олимпос,2022-02-20,"2,288",54
TRAXXXMANIA,GONE.Fludd,2022-02-20,"2,254",55
Дежавю,kizaru,2022-02-20,"2,232",56
Вина (feat. 17 SEVENTEEN),"OG Buda, MAYOT",2022-02-20,"2,195",57
Кайф ты поймала,Konfuz,2022-02-20,"2,162",58
