Song,Artist,Date,Streams,Rank
Calm Down,Rema,2022-02-20,"26,002",1
Omo Ope (feat. Olamide),Asake,2022-02-20,"19,276",2
Italy (feat. Blaq Diamond),Buju,2022-02-20,"12,009",3
Baddest Boy - Remix,"Skiibii, DaVido",2022-02-20,"11,692",4
Cold Outside,"Timaya, Buju",2022-02-20,"10,974",5
Holy Father,"Mayorkun, Victony",2022-02-20,"10,474",6
Don't Call Me (feat. Zinoleesky),Lil Kesh,2022-02-20,"9,750",7
Sometimes - Remix,"T.I BLAZE, Olamide",2022-02-20,"9,735",8
Monalisa,"Lojay, Sarz",2022-02-20,"9,443",9
High,"Adekunle Gold, DaVido",2022-02-20,"8,598",10
Ozumba Mbadiwe,Reekado Banks,2022-02-20,"8,518",11
B. D’OR (feat. Wizkid),Burna Boy,2022-02-20,"8,491",12
Rocking,Zinoleesky,2022-02-20,"8,229",13
Sungba,Asake,2022-02-20,"8,140",14
Loyalty,Ajebo Hustlers,2022-02-20,"8,047",15
Snapchat,Ruger,2022-02-20,"7,617",16
Baby Riddim,Fave,2022-02-20,"7,458",17
Understand,Omah Lay,2022-02-20,"7,446",18
Eh God (Barnabas),Kizz Daniel,2022-02-20,"7,403",19
WITH YOU,Khaid,2022-02-20,"7,383",20
My Friend,Bella Shmurda,2022-02-20,"7,213",21
Emiliana,CKay,2022-02-20,"7,202",22
Dior,Ruger,2022-02-20,"6,790",23
Champion Sound,"DaVido, Focalistic",2022-02-20,"6,599",24
Trabaye,Asake,2022-02-20,"6,511",25
Peru,Fireboy DML,2022-02-20,"6,409",26
Outside,Buju,2022-02-20,"6,109",27
Sip (Alcohol),Joeboy,2022-02-20,"6,067",28
Commander,Blaqbonez,2022-02-20,"6,051",29
Mood (feat. Buju),WizKid,2022-02-20,"6,002",30
Come My Way,Wande Coal,2022-02-20,"5,842",31
Blessings,"Niphkeys, Zinoleesky",2022-02-20,"5,821",32
No Wahala,1da Banton,2022-02-20,"5,734",33
Backside,Mohbad,2022-02-20,"5,595",34
Move,Bad Boy Timz,2022-02-20,"5,582",35
Ameno Amapiano Remix (You Wanna Bamba),"Goya Menor, Nektunez",2022-02-20,"5,514",36
Peru,"Fireboy DML, Ed Sheeran",2022-02-20,"5,478",37
Bloody Samaritan,Ayra Starr,2022-02-20,"5,433",38
Running,"LADIPOE, Fireboy DML",2022-02-20,"5,240",39
Second Sermon - Remix,"Black Sherif, Burna Boy",2022-02-20,"5,210",40
Gone Far,Zinoleesky,2022-02-20,"5,170",41
Feeling,"LADIPOE, Buju",2022-02-20,"5,116",42
Lie,Kizz Daniel,2022-02-20,"5,030",43
Feel Good,Mohbad,2022-02-20,"4,996",44
Your Body (feat. Buju),Basketmouth,2022-02-20,"4,898",45
Mercy,Adekunle Gold,2022-02-20,"4,751",46
One Woman,"Adekunle Gold, Ty Dolla $ign",2022-02-20,"4,717",47
Bounce,Ruger,2022-02-20,"4,565",48
Pour Me Water,Kizz Daniel,2022-02-20,"4,505",49
Anoti,WizKid,2022-02-20,"4,373",50
Love Don't Cost A Dime (Re-Up),"Magixx, Ayra Starr",2022-02-20,"4,346",51
Soundgasm,Rema,2022-02-20,"4,137",52
ZaZoo Zehh,"Poco Lee, Portable, Olamide",2022-02-20,"4,122",53
Baddest Boy,Skiibii,2022-02-20,"4,101",54
pushin P (feat. Young Thug),"Gunna, Future",2022-02-20,"4,056",55
Sinner,"Adekunle Gold, Lucky Daye",2022-02-20,"4,004",56
Infinity (feat. Omah Lay),Olamide,2022-02-20,"3,946",57
Dimension (feat. Skepta & Rema),JAE5,2022-02-20,"3,840",58
ODG,Eltee Skhillz,2022-02-20,"3,781",59
Sáré,Simi,2022-02-20,"3,778",60
Fashion Killer,Ayra Starr,2022-02-20,"3,772",61
Want It All (feat. Polo G),Burna Boy,2022-02-20,"3,759",62
Baba God,Asake,2022-02-20,"3,738",63
Rosemary,"Savage, Victony",2022-02-20,"3,715",64
Ojuju,"Troniq Music, Oxlade",2022-02-20,"3,606",65
Ginger (feat. Burna Boy),WizKid,2022-02-20,"3,587",66
Ghost,Justin Bieber,2022-02-20,"3,572",67
Abeg,"DJ Neptune, Joeboy, Omah Lay",2022-02-20,"3,537",68
MMM,"DJ Tunez, MohBad, Rexxie",2022-02-20,"3,536",69
Sweet Daddy,"Dai Verse, Buju",2022-02-20,"3,482",70
Super Gremlin,Kodak Black,2022-02-20,"3,383",71
Testimony,Buju,2022-02-20,"3,345",72
Crazy Tings,Tems,2022-02-20,"3,316",73
Celowi,"Basketmouth, Peruzzi",2022-02-20,"3,305",74
Confident,"Savage, Buju",2022-02-20,"3,279",75
Worst Day,Future,2022-02-20,"3,196",76
Rock,Olamide,2022-02-20,"3,179",77
Heat Waves,Glass Animals,2022-02-20,"3,127",78
Oshe (feat. The Cavemen.),Kizz Daniel,2022-02-20,"3,116",79
Big Thug Boys,AV,2022-02-20,"3,097",80
Ale Yi,Zlatan,2022-02-20,"3,090",81
Never Stopped,Buju,2022-02-20,"3,086",82
Beggie Beggie,"Ayra Starr, CKay",2022-02-20,"3,035",83
Southy Love,"Peruzzi, Fireboy DML",2022-02-20,"3,009",84
